feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
morph_aspect_ratio_wh,-0.000536379900847221,0.04037266791671674,0.04417892337667724,-0.11461244506578898,0.18691643815345582,0.18354286534229516,0.05919090849152431,0.6368909170014376,0.2471227698878894,0.2770879351245169,0.27395302958299134,0.2775548924782803,0.19361332103609769,-0.2912823897671655,0.11739677548534888
morph_solidity,-0.04347811854235846,-0.07932963379036681,0.061006322371868475,0.4286824501148263,0.16572646078043246,-0.07926669931447546,-0.1927138539361556,0.11218797172851466,0.08154539441948624,-0.09858912900550082,0.010408736221409406,0.06456492685244915,0.021074546309998138,-0.01822360977522095,0.029364780724118328
morph_extent,-0.05529877285556095,-0.0878399161393003,0.060064768306975616,0.4172015214453626,0.1823036885281373,-0.09351146280301202,-0.17468975777411588,0.12449858376826566,0.08928625960472854,-0.06273028081823195,-0.027922054403636213,0.056336726905795664,-0.007131341478088304,0.019037467379334348,0.07179131797432436
glcm_homogeneity_d1,0.14543673431976084,-0.1575539454330826,-0.1256932132079336,-0.06488357130255056,0.0014676357109612791,-0.20930432175407562,-0.08446370955162322,-0.13410808851637396,0.0636628683968055,0.058953837629178274,0.20274718987186674,0.21456035985902916,0.13252545247593706,0.04465477441235672,-0.02236226559595056
glcm_contrast_d1,-0.1782919534530319,0.026580997607683548,-0.23589285364071616,0.028400730711634604,0.013717794071714882,0.05483065083260729,-0.025011052493615904,-0.0019861790951129187,0.015216724728203512,-0.05479865355584246,0.09698004816176353,0.01357864750070592,-0.015140418437987916,0.012445684822366335,-0.034394998297801405
glcm_entropy_d1,-0.011427899717532228,0.2378798511358142,0.08021231249802115,0.16330214010087327,-0.045785053712640376,0.23451927257921143,0.1608796171302963,0.06704021920587835,-0.1455972830450235,-0.0299706134971287,0.03825516883542596,-0.2584114510774514,0.16641845091372526,-0.029468042715112518,-0.024143837161175255
glcm_correlation_d1,0.18507334887668936,0.012133684421388107,0.11582577772250062,0.07152971297644857,-0.19136176953227513,-0.07710778485250278,0.036227576119587226,-0.06868863758566647,0.02392376191412593,0.3895582364607408,-0.09316175697177284,-0.035376881270760385,0.007971104920379862,-0.09332022811623851,-0.14719858581192435
glcm_homogeneity_d4,0.11520442262585394,-0.22005340500802079,-0.08216536656592893,-0.05789742148372421,-0.03191470458801452,-0.14837436449852467,-0.07321076642171809,-0.1588388347862645,0.05221208965006294,0.10203447277792614,0.0807943814279336,0.352423074955529,-0.008805433470101653,0.02458084577535122,0.00037954736176165627
glcm_contrast_d4,-0.19621743027291244,0.03643925666170823,-0.1862197248382806,0.043487047084749056,-0.014028071124349143,0.10627699668889681,0.006420025469707424,0.006468500971145198,-0.007463038729524855,-0.008816498007572143,0.0004311235750126263,0.050695657754645185,-0.09936118148546122,-0.03937676232959847,-0.04791276650099796
glcm_entropy_d4,-0.0040133983497731675,0.2481435800657125,0.07404766031865653,0.14126626492338068,-0.014068536165119452,0.21098535810903063,0.13733159787875016,0.08975717514875531,-0.13147227657165733,-0.05442302429906733,0.07076424041211976,-0.2975297942416668,0.18168434708770992,-0.019418508968219735,-0.03995664689843889
glcm_correlation_d4,0.20492701384880807,0.015082854735470065,-0.00019372977688380738,0.09154718763988409,-0.15446820130766561,-0.09051054777229757,0.015808816308158943,-0.13024055259513814,0.017464300248545662,0.2860225730231073,0.14834877888219566,-0.040530648478124875,0.20305055056643884,-0.0423024072924957,-0.1424852061638412
wav_L1_LL_energy,-0.047923577920162067,0.2570154588360564,0.026971749140973243,-0.007620585466072847,0.22631317217072744,-0.08783794465683753,-0.004741634854125459,-0.18373373845061805,-0.0070260889300556555,0.18041098540863088,-0.03702246757156325,0.14920253317397963,-0.08813962996577707,-0.07472169696824454,0.04504027528374282
wav_L1_LL_entropy,0.2087442606857293,0.08245391488429515,-0.10636302873631322,0.06679966121294686,0.09191800878060076,0.03699603100850349,-0.03514887201705703,0.026278541830949242,0.013273726375878486,-0.01922896488838966,0.062289366325735715,-0.06190376619495858,0.08419550406213512,0.050994492232783184,0.06424638477256558
wav_L1_LL_mean,-0.03181690607897552,0.2736890691523294,0.035028255073818425,-0.020612937535980005,0.21797906051880372,-0.08880166150209949,0.015310928041041713,-0.09967419617368979,0.0007372242742720021,0.07248013518826518,-0.02848038399857996,0.02413515229645463,-0.04253121016315048,0.0013033082080330383,0.08232599629387086
wav_L1_LL_kurt,-0.029741568931456953,-0.21746930053882893,-0.003782494495231796,-0.14855250725727417,0.3284591733195413,0.1466385730911363,-0.09819964030750657,-0.08026740983133082,-0.08337308895877696,0.07690830627728952,-0.022426562223784724,-0.1599976006017973,0.07298733604590445,-0.04476650321970266,-0.08971693631735503
wav_L1_LH_energy,-0.1995210707690959,-0.0051565795557541655,-0.1663471624474529,0.04444295932930023,-0.02487216005246179,0.12095100387764003,0.016321040379851198,0.0020286811697162927,0.07394651653700274,0.07353991707481498,-0.03865111371090701,0.031276049051717214,-0.15537184631282855,0.009384086680438497,0.023594489024528306
wav_L1_LH_entropy,0.19572386706169265,0.09023448463211546,-0.09262259508047206,0.05351520446524882,0.036300674222041016,0.16744813473052428,-0.1793080906721203,0.09783354195172946,-0.018824177508930603,0.004269431013023929,-0.07325385720574296,0.05945742711419377,0.004692007870878804,0.1297797953119564,-0.09731485892354277
wav_L1_LH_mean,0.04373613239694895,-0.020908466098013504,0.15140215570675333,0.008367842876485948,-0.0022340498788984827,0.28050804785477557,0.08210998359797175,-0.2727553161836046,0.514979673745347,0.01297482435557465,0.4658306395549476,-0.20045231631896612,-0.39686837034135397,-0.014173070646824638,0.04800515283222681
wav_L1_LH_kurt,0.15611661133769295,-0.09305119828007205,-0.15126256754118647,0.10112407717170363,0.033944170755550736,-0.08776194949339648,0.25973686945042324,-0.14829574446105176,-0.026653762854896117,-0.05431943226017276,0.0019497203471818714,-0.07954708206239217,-0.04527149624155935,-0.2833355304910389,0.038514999148766035
wav_L1_HL_energy,-0.18085954211499916,0.0005571175496659921,-0.22539119318665501,0.04612876676443464,-0.004594633623310112,0.057519104815174464,-0.033995200405340396,-0.060212308639767016,0.007131269096438468,-0.02750824758590589,0.09321317688145349,0.007184602168324646,-0.0031995054670912538,0.027968463390170374,0.03196419657014707
wav_L1_HL_entropy,0.18903601164376954,0.0516631662227975,-0.13092553295363185,0.06121819000102962,-0.00281143345027773,0.13823284893956467,-0.24460845299073114,-0.10920201500118498,-0.05621298532912465,-0.028319174464789893,0.042923135105409654,0.006890175785129512,0.09144101684345021,0.002967887923660457,0.11073492021308229
wav_L1_HL_mean,0.10747824746144204,-0.04207445099631314,0.2901553518228463,0.015887797713705742,0.024085366508560576,0.1571177042474783,0.07014040147386569,-0.08033785112779049,-0.03820485216406687,-0.14745553219704702,-0.07693068308325009,0.12319291111862747,-0.027975606988476932,0.02091007546785376,0.06364980635532508
wav_L1_HL_kurt,0.17063595111772467,-0.042195699630240696,-0.13792139961955086,0.07328655475027684,0.13113511370945483,-0.0202618486087187,0.21146134030271205,0.2019817506277615,0.11626367759141776,0.0662901150069743,-0.12692871049050158,-0.0012982447142879752,-0.23227925560320653,-0.04975304652192821,-0.23803004588716078
wav_L1_HH_energy,-0.1724425415288169,0.008008168730057745,-0.22938091423882206,0.04223904278594858,0.01812844690255769,0.08010410703071184,-0.03627688695495472,-0.055216284760274396,-0.022410412173551386,-0.07746777562743802,0.1926196390235227,0.07722897535625277,0.01491834696894398,0.01143065356073158,-0.05232740922647655
wav_L1_HH_entropy,0.203008792333354,0.056925223604856336,-0.0922918031783426,0.02067762302636175,-0.056089358912882054,0.12333243252495542,-0.22220789380929298,-0.02756784970130157,0.03760679016635331,0.056574412561247324,-0.08236683116029636,-0.019559970148513246,0.05172498767681574,0.07507437634186627,0.19392610632165036
wav_L1_HH_mean,-0.14437714157854958,0.0343351322966174,-0.24554124340041036,-0.003035907926493304,-0.06925018829021955,-0.07698831283825801,-0.019864144860438953,0.013165144630699161,0.1949091156637904,0.11260659983382695,0.023974502010404707,-0.21568020406485092,-0.12468896729789425,0.010878181198858364,0.04660414906941035
wav_L1_HH_kurt,0.15485438715191796,-0.05083311871117112,-0.15187075872037117,0.13470579322265358,0.15316535047484678,-0.04718235612628901,0.2323810148241605,0.02430950313175629,-0.016899639074336358,-0.06669168223260068,0.018037360100102748,0.03363270756399643,-0.15494873596936182,-0.10777878722856926,-0.41781239190043135
wav_L2_LL_energy,-0.045949972184342866,0.2555287177047651,0.039265352603065025,-0.001856527988918744,0.22967328134192325,-0.09170493775461072,-0.002862784967760352,-0.18511783286463773,-0.0030239201394160814,0.1818354005052486,-0.048825799153214625,0.14251951280397956,-0.08991100821214114,-0.062366280014906204,0.05672861429171757
wav_L2_LL_entropy,0.2056412501523766,0.08351523527092033,-0.11615714601795367,0.06892362377635759,0.09483962606139602,0.042388474227032555,-0.035108679296245525,0.037912716558944036,0.013079716709934974,-0.029564824173496464,0.05282032517804609,-0.05994614073400229,0.07316771821358506,0.04914936629739851,0.07725160445155142
wav_L2_LL_mean,-0.036866749461390895,0.2723832007136975,0.040001914012181644,-0.014105509498911756,0.21669294844893816,-0.08722686761805915,0.01768319857728105,-0.09974633250946477,0.0010412334513577543,0.0726922815309664,-0.040658807343821914,0.024653490506485704,-0.047003946751166134,0.006880912883787117,0.08924999086488171
wav_L2_LL_kurt,-0.02922574819315607,-0.2163201249677172,0.002760134737691816,-0.14484466830758555,0.3106230536706427,0.145714322047218,-0.10077396657581714,-0.10320839023847656,-0.04391857789955399,0.1356860007441428,-0.03986909934313833,-0.17959314576183136,-0.024042719183832828,0.017638651943692216,-0.16415481099619286
wav_L2_LH_energy,-0.18256538331280736,-0.02119221279768859,-0.00970580082140584,0.07602234256029737,-0.014919911867696437,0.29384791264663257,0.09741980555716129,0.016224195137860484,-0.0025171175074401816,-0.03409802105554601,-0.2432804599609959,0.36803141391175165,-0.1493450194272194,0.018820457405851584,-0.03701160215189962
wav_L2_LH_entropy,0.19599292961626236,0.09753558022898612,-0.11156483397055719,0.07379632840342715,0.0027774768414977158,0.10659157702689731,-0.16445628836751267,0.06391720600167265,0.038542964157398094,0.027954795019582198,-0.040767684963669025,-0.02437012743719933,-0.06505515585299788,0.08029965805141583,-0.1632484756361806
wav_L2_LH_mean,0.07164955492663005,-0.03466137107805004,0.26447721369985655,0.04345429753071821,0.03695615460080714,0.22934848710322137,0.13417725942625558,-0.161244984360788,0.2166156579070592,-0.12184023670312338,-0.0824628584136227,0.14076924808281227,0.04527983788077908,0.11375287990527078,0.09310719279365326
wav_L2_LH_kurt,0.11292705684396359,-0.1527671016145703,-0.13624415262069267,0.041344394204658526,0.14650217072960167,-0.027341614360295828,0.24588183133451455,-0.1334998424866394,-0.09883327222836019,-0.10424468877888352,0.1293385618192938,0.004391447353520222,0.20655260820640767,-0.2615190571661949,0.485620672467686
wav_L2_HL_energy,-0.18043839468734876,0.00871048698442116,-0.22427031319776955,0.05400268305558006,0.00021332260913408703,0.04959553219121459,-0.024659145172382917,-0.04637495301285137,0.020461088072851755,-0.031229118983881494,0.0918924520644502,0.008540925441604105,0.07224204529075631,0.05919369443356891,0.03207516017395185
wav_L2_HL_entropy,0.19168105723840706,0.08107773909021468,-0.09629942615025595,0.01729583607584836,-0.03498544970571308,0.06721106666251452,-0.27822378759937066,0.020019040789923614,0.04458320110078281,-0.038898793128754425,-0.12467342442536516,-0.017296865981843042,-0.15200820896157125,-0.3019804760770478,-0.039346802071941286
wav_L2_HL_mean,-0.12839517592806912,0.028881920417633867,-0.23710971801176145,0.0035917702556757226,-0.04967033871172002,-0.18767112648116013,-0.024092632706867914,0.09362823891040124,0.03428378696775483,0.26799185616719545,-0.026398197656542506,-0.2775699549656108,-0.04304145381553438,0.04286457806747189,0.16673564089554163
wav_L2_HL_kurt,0.11294255205863947,-0.08573206082362576,-0.12006912919448962,0.13169550385250578,0.17200126304832852,-0.0069276600946439615,0.3624369054096743,0.05825882067505088,-0.028430267646108016,0.14117301143218933,0.1338156970490696,0.057619840222806806,0.10128876568016146,0.6738026574410529,0.012140796656796612
