feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
wav_L1_LL_energy,-0.04792357792016224,0.2570154588360565,0.026971749140973198,-0.007620585466072985,0.2263131721707277,-0.0878379446568373,-0.004741634854125362,-0.183733738450618,-0.0070260889300553875,0.18041098540863088,-0.03702246757156334,0.14920253317398025,-0.08813962996577607,-0.07472169696824452,0.04504027528374327
wav_L1_LL_entropy,0.20874426068572924,0.08245391488429525,-0.10636302873631315,0.06679966121294682,0.09191800878060107,0.03699603100850339,-0.03514887201705724,0.026278541830949118,0.013273726375878408,-0.01922896488838982,0.06228936632573573,-0.061903766194959464,0.08419550406213479,0.05099449223278263,0.06424638477256528
wav_L1_LL_mean,-0.03181690607897573,0.27368906915232943,0.03502825507381836,-0.020612937535980102,0.21797906051880386,-0.0888016615020996,0.015310928041041722,-0.0996741961736899,0.0007372242742722249,0.07248013518826481,-0.028480383998579915,0.024135152296454913,-0.042531210163150146,0.0013033082080335934,0.08232599629387105
wav_L1_LL_kurt,-0.02974156893145681,-0.21746930053882893,-0.0037824944952317965,-0.14855250725727462,0.3284591733195413,0.1466385730911363,-0.09819964030750651,-0.08026740983133096,-0.08337308895877686,0.07690830627728976,-0.02242656222378483,-0.15999760060179805,0.07298733604590295,-0.0447665032197026,-0.08971693631735497
wav_L1_LH_energy,-0.19952107076909603,-0.005156579555754245,-0.16634716244745276,0.04444295932930024,-0.02487216005246193,0.12095100387763986,0.016321040379851187,0.002028681169716588,0.07394651653700277,0.0735399170748146,-0.03865111371090715,0.031276049051718595,-0.1553718463128285,0.009384086680438886,0.023594489024528632
wav_L1_LH_entropy,0.19572386706169273,0.09023448463211557,-0.09262259508047199,0.05351520446524875,0.036300674222041085,0.167448134730524,-0.17930809067212053,0.09783354195172962,-0.018824177508930656,0.0042694310130238795,-0.07325385720574312,0.05945742711419372,0.0046920078708793085,0.1297797953119558,-0.09731485892354293
wav_L1_LH_mean,0.043736132396949075,-0.020908466098013494,0.15140215570675336,0.00836784287648588,-0.002234049878898623,0.28050804785477546,0.0821099835979713,-0.2727553161836039,0.5149796737453473,0.012974824355573853,0.4658306395549471,-0.20045231631896274,-0.3968683703413562,-0.014173070646824298,0.04800515283222711
wav_L1_LH_kurt,0.1561166113376931,-0.09305119828007197,-0.15126256754118636,0.10112407717170359,0.033944170755550944,-0.0877619494933963,0.25973686945042324,-0.14829574446105181,-0.0266537628548962,-0.05431943226017306,0.001949720347181893,-0.07954708206239214,-0.04527149624156032,-0.28333553049103877,0.03851499914876651
wav_L1_HL_energy,-0.1808595421149993,0.0005571175496659164,-0.2253911931866549,0.04612876676443461,-0.004594633623310207,0.05751910481517419,-0.03399520040534056,-0.06021230863976695,0.007131269096438578,-0.027508247585906077,0.09321317688145338,0.007184602168324484,-0.003199505467091396,0.02796846339017016,0.03196419657014688
wav_L1_HL_entropy,0.1890360116437695,0.0516631662227976,-0.13092553295363168,0.061218190001029495,-0.0028114334502776996,0.13823284893956442,-0.24460845299073147,-0.1092020150011851,-0.05621298532912431,-0.028319174464789647,0.04292313510540981,0.006890175785128544,0.09144101684345042,0.002967887923660598,0.11073492021308211
wav_L1_HL_mean,0.10747824746144226,-0.042074450996313115,0.2901553518228463,0.01588779771370564,0.024085366508560562,0.1571177042474784,0.07014040147386572,-0.0803378511277905,-0.03820485216406678,-0.14745553219704696,-0.07693068308325002,0.12319291111862785,-0.027975606988475527,0.020910075467853582,0.06364980635532465
wav_L1_HL_kurt,0.1706359511177248,-0.042195699630240606,-0.13792139961955086,0.07328655475027662,0.13113511370945508,-0.020261848608718637,0.21146134030271221,0.2019817506277618,0.11626367759141731,0.06629011500697386,-0.1269287104905018,-0.0012982447142856038,-0.2322792556032068,-0.04975304652192792,-0.2380300458871604
wav_L1_HH_energy,-0.17244254152881713,0.00800816873005765,-0.2293809142388218,0.042239042785948595,0.018128446902557622,0.08010410703071177,-0.03627688695495488,-0.05521628476027452,-0.02241041217355136,-0.07746777562743799,0.1926196390235224,0.07722897535625242,0.014918346968944667,0.011430653560730936,-0.05232740922647686
wav_L1_HH_entropy,0.20300879233335412,0.05692522360485647,-0.09229180317834253,0.020677623026361763,-0.05608935891288205,0.12333243252495509,-0.22220789380929315,-0.027567849701301415,0.037606790166353536,0.0565744125612473,-0.08236683116029597,-0.01955997014851363,0.0517249876768158,0.07507437634186609,0.19392610632165078
wav_L1_HH_mean,-0.14437714157854972,0.03433513229661735,-0.2455412434004101,-0.0030359079264932125,-0.06925018829021966,-0.07698831283825783,-0.01986414486043885,0.013165144630699155,0.19490911566379016,0.11260659983382654,0.023974502010404946,-0.21568020406484967,-0.12468896729789605,0.010878181198858753,0.04660414906941025
wav_L1_HH_kurt,0.15485438715191807,-0.050833118711171035,-0.15187075872037104,0.13470579322265333,0.15316535047484708,-0.04718235612628878,0.2323810148241607,0.024309503131756324,-0.016899639074336444,-0.06669168223260089,0.01803736010010239,0.033632707563997555,-0.1549487359693617,-0.1077787872285687,-0.41781239190043173
