feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
glcm_homogeneity_d1,0.10841190121563758,-0.22132211618303507,0.00824039372084891,0.06288697081175751,-0.06273662791263786,0.04141447245008003,-0.1596829019908632,-0.07201576459829653,0.16354331395915073,0.031099250553075997,0.011093763361458328,0.08787916774285766,0.21303406831553498,0.014031070915316718,0.028501468121604145,-0.06141061475693163
glcm_contrast_d1,-0.15704544402041082,0.048769732253964165,0.30388593174836254,0.0018427483592844502,0.05737615231034103,0.0251477393047531,-0.0897935006034043,-0.0934560558175418,0.04725704549597742,0.07992125754329993,0.08596503932468208,0.0495432751371197,0.02338771753541155,0.028186000027869307,-0.0106103625570321,-0.05045357805227724
glcm_entropy_d1,0.03062137207203039,0.24616791033366472,0.04482983889576523,-0.12663748112625198,0.07474080710442432,0.045085506118119074,0.04962037708250469,0.013683567980167843,-0.20315906423797048,0.08378800966950728,-0.12546329677613355,-0.09923414777221821,-0.30519281785875063,0.024376346126615794,-0.015619868661145673,0.08525341201347642
glcm_correlation_d1,0.16509806497533172,-0.015140066172110654,-0.21583399100134998,-0.20550912087756573,0.051016638118779406,-0.032176299441903235,-0.026358523860623165,0.05837650267531763,0.12309902536778267,0.011409718064057883,-0.2138378195309831,0.05655159741103481,0.08166314068328431,-0.23749721682805627,-0.03703469447840824,-0.0498443187134992
glcm_homogeneity_d4,0.056188016102642784,-0.2525724854451836,0.009201694076991168,0.01917690419750262,-0.05273608805869877,-0.006377534350625808,-0.09430746256849439,-0.005446443931087116,0.20578666509378296,-0.017402152243353453,0.026990869430845915,0.12680825487861222,0.2741847117277134,-0.10717309939021277,0.03636174063569082,-0.044476165147144475
glcm_contrast_d4,-0.16283517866148603,0.09166338189066524,0.2528233417410659,-0.06514900671617102,0.07038350462870067,-0.03307628282308075,-0.009811388135796701,0.007462216386761854,0.06802110045575994,0.08212922521761495,-0.017576109128232376,0.07627187826718412,0.0485684694792366,-0.11083956167530858,-0.054430186870789876,-0.07183706871615703
glcm_entropy_d4,0.0396114224691718,0.24854617075627122,0.044111303778147065,-0.08966043896414833,0.07067475352324913,0.039597639231087944,0.03639744957068746,-0.005690643339520577,-0.20379119492109474,0.09504055908754463,-0.12366963381453705,-0.10221269548301984,-0.30745609553217457,0.06422005590455399,-0.02768447272413177,0.06692403113446202
glcm_correlation_d4,0.19457830996666334,-0.044971072610836486,-0.11870603711870203,-0.15424939980068364,0.033380695504028945,0.056218547065183304,-0.14517133563415172,0.005629310422603152,0.13171621087673194,0.08398386232754931,-0.22047217084953508,0.031587365717918425,0.028455820702493723,-0.153623337013228,0.02232826940794519,-0.03795960617213519
wav_L1_LL_energy,0.03359797835435172,0.24284034921436676,0.014836136800200716,0.21610067700718044,0.011509103614200303,0.1006516213105203,-0.030784409365089447,0.09397068933666887,0.12718903302738682,-0.06838648067019128,-0.05505401428453949,-0.012224855104136734,0.21244097952572916,-0.15302708051212327,0.05796701578304574,0.010638081919111968
wav_L1_LL_entropy,0.22532434360964385,0.025685361952177528,0.10510395630807985,0.0367540693865608,0.07303174534188481,0.0012585253473906244,-0.03272273951257076,-0.019927171961865775,-0.02796142384141462,0.006653375686743065,0.03777811408157583,-0.05839906492413194,-0.03073544537309235,0.11352894244193529,-0.04883425760953741,0.08487659829850422
wav_L1_LL_mean,0.03504805138406696,0.25629341161578134,-0.003303221996185956,0.19777527477566026,0.01770212062134449,0.12415215777051815,-0.020375370196481814,0.054721279929718675,0.032723067282458974,-0.0730154605420141,-0.02623035622099014,-0.06603147275508657,0.08018968205526975,-0.04334659983170297,0.030253667589910715,0.0593543065146421
wav_L1_LL_kurt,-0.05911982923135569,-0.18374136652653655,0.14501148159754687,0.3004009633043718,-0.08446872299691745,-0.10210960420267742,0.031634275098225154,0.09202731241971217,-0.03274554648383047,-0.018931543130330103,-0.19594939950303097,-0.19586230050885894,-0.11786334898633251,-0.050409143374305826,0.041936164743264615,-0.06644884895240433
wav_L1_LH_energy,-0.1951351374529373,0.04502933887222339,0.19407625750900245,-0.10975985405155676,0.05061134928215192,-0.027666736631642947,0.08785218578745851,0.06251019479376077,0.023002401471758537,-0.06514593033942456,0.018897503058524806,0.09191112716460348,0.033158089894519176,-0.05656896774932849,0.03883191340158855,0.06572788249640742
wav_L1_LH_entropy,0.20557917683444663,0.06431506764868808,0.14135384963795825,-0.014542455248769298,0.08875206567514211,-0.1868469024660619,0.03025233817025308,0.028523918506571228,0.013279656087103894,0.00982163746873311,-0.009603129589628414,-0.01899220950923385,-0.007091518863020223,0.01681109713096353,-0.02451180680554932,-0.15270368055782316
wav_L1_LH_mean,-0.12666210092029437,0.019643980689355064,-0.007109718132445184,-0.19655190414279788,-0.053993368428905564,-0.00426594009824433,0.35353565283057486,0.16097181757865064,-0.039216239392671055,-0.21603483939792986,0.10964171670189578,-0.07403684132579781,0.0769976243134367,0.06322479992832022,0.7354607691357341,0.0002476763933700783
wav_L1_LH_kurt,0.13223539509959253,-0.1870690168603318,0.06832841155045255,0.010563978169247729,0.0492928714951108,0.2212181320679623,0.01157134952051814,0.01628570000634846,0.016486654177619256,-0.0713326467512076,0.037383460231203196,0.010159815598415202,0.09666281790978472,0.0005266045830108083,0.012625103283541569,0.3252700786189523
